nid,count
10000053,1
210614,6
10000055,1
10000056,1
10000057,1
30394,2
10000059,1
10000060,1
19493,3
10000062,1
14015,2
10000064,1
10000065,1
5826,1
5827,1
10000068,1
10000069,1
10000070,1
20167,6
10000072,1
10000058,1
10000074,1
14027,2
77516,6
77517,6
77518,6
235215,3
10000080,1
77521,6
10000082,1
10000083,1
20180,3
157397,2
10000086,1
10000087,1
10000088,1
10000089,1
10000090,1
10000091,1
10000092,1
9999994,1
10000094,1
30431,6
10000096,1
10000061,1
30434,1
10000099,1
10000100,1
30437,1
10000102,1
10000103,1
10000104,1
20722,6
20202,3
10000107,1
10000108,1
12013,2
14063,2
274160,1
26354,1
10000032,1
313076,1
46837,1
27542,2
2003,1
165625,1
165626,1
165627,1
165628,1
134132,1
1362,2
20223,6
151296,2
10000000,1
314646,1
9989,1
151304,2
151306,2
20235,3
165645,4
151310,2
9999,2
12608,6
10001,2
151314,1
10000003,1
151317,1
14105,2
151322,2
20252,6
151325,2
151326,2
257823,1
10000004,1
46881,2
257826,1
6790,2
20263,6
14122,5
10000007,1
104236,5
26930,5
20274,6
12595,4
161590,6
2039,2
6111,2
227133,2
1855,2
26433,4
294725,2
44870,4
227143,2
12104,1
12105,2
20998,1
46924,3
20301,3
231835,1
14161,1
3922,6
235348,1
20315,5
40796,1
43776,2
227167,1
151184,2
20322,6
141156,1
20326,1
141910,2
135826,2
12146,1
20339,6
112500,5
149366,1
1912,2
227194,1
20347,2
31887,2
161662,6
13973,2
316736,1
3970,6
4075,1
12950,3
27615,1
1927,6
20361,6
10000023,1
151436,1
151437,1
20120,3
20371,3
200598,5
294807,1
13084,1
21126,2
23183,1
130973,1
20382,3
35322,1
130978,1
10000027,1
12201,1
20394,6
4012,2
65181,3
20865,6
1970,1
8115,6
20404,3
48361,2
46563,2
126906,1
200636,5
1981,5
126911,2
286657,3
157635,1
12232,3
1994,5
40907,2
20428,6
137208,3
2002,2
12243,5
20437,3
134753,1
280228,1
10000046,1
79839,6
311265,1
20450,6
126952,4
106473,2
133799,2
150866,6
20462,6
10224,2
10000106,1
165101,2
66763,2
169975,5
12280,6
200697,5
77819,6
10000042,1
20478,5
